Devices
1000
,,Analog EMG - Voltage,,,,,,,,
Frame,Sub Frame,1,2,3,4,5,6,7,8
,,V,V,V,V,V,V,V,V
1,0,0.00726795,-0.00295591,0.00180435,-0.00140715,-0.0616164,-0.0272703,0.00454998,0.00136423
1,1,0.0078783,0.00268984,-0.00323105,-0.0130038,0.00384378,-0.0463438,-0.0104036,-0.00245047
1,2,-0.0046339,0.0043683,-0.000331879,-0.00430632,0.108977,-0.0333738,-0.000943184,-0.00382376
1,3,0.000401497,-0.00478697,-0.000942231,-0.00308561,0.148345,-0.0269651,-0.0360384,-0.0297637
1,4,0.00848866,-0.00432921,-0.00139999,0.00698519,0.0647264,-0.0165892,-0.00185871,-0.031137
1,5,0.0110826,-0.00707579,-0.00414658,-0.00278044,0.0317674,-0.0130796,0.0150785,-0.0138946
1,6,-0.00295544,-0.00921202,-0.00399399,0.00423861,-0.0285048,-0.00636578,0.024539,-0.0219817
1,7,-0.00768566,-0.00219298,-0.00414658,0.00194979,-0.109529,-0.0146055,0.0111113,-0.00779104
1,8,-0.0192823,-0.00280333,-0.011013,-0.00506926,-0.0837417,0.085187,0.0214872,-0.00733328
1,9,-0.00493908,0.00558901,-0.00109482,0.00149202,-0.0729079,0.111585,0.01752,-0.0116057
2,0,-0.00753307,0.00391054,-0.00445175,-0.000491619,-0.0527663,0.0693178,0.0152311,-0.0160308
2,1,-0.0130262,-0.00371885,-0.0038414,-0.000339031,0.0673203,0.0476503,0.0207243,-0.00748587
2,2,-0.00860119,-0.00295591,0.000278472,0.000729084,0.0876145,0.0197268,0.0166044,0.00136423
2,3,-0.00188732,0.00268984,0.00455093,0.00576448,0.102263,0.00507832,0.0153837,0.00380564
2,4,-0.00432873,0.000706195,0.000888824,0.00484896,0.0686936,-0.00560284,0.0155363,-0.0134368
2,5,-0.000819206,-0.00707579,0.00256729,-0.0032382,0.0302415,-0.00514507,0.0210295,0.00243235
2,6,-0.00539684,0.00375795,-0.000179291,-0.00125456,0.0470262,-0.00758648,0.014163,-0.0241179
2,7,-0.000971794,0.00116396,-0.000637055,-0.00812101,0.0178819,-0.00667095,0.0137053,-0.00534964
2,8,0.00742054,-0.00478697,-0.00902939,-0.00796843,-0.016603,-0.00468731,0.0150785,-0.00321341
