Devices
1000
,,Analog EMG - Voltage,,,,,,,,
Frame,Sub Frame,1,2,3,4,5,6,7,8
,,V,V,V,V,V,V,V,V
1,0,0.00745501,-0.0020425,0.0269121,-0.0168435,-0.0534211,0.0511387,0.00473023,-0.00817653
1,1,0.00425066,-0.00311061,0.0238604,-0.0198953,-0.0430451,0.0670079,-0.00579834,-0.00787136
1,2,0.0155422,-5.88558e-005,0.0086016,-0.0127236,-0.0348053,0.061057,-0.00488281,-0.0010049
1,3,0.0050136,0.00146702,-0.000553676,-0.0127236,-0.044571,0.0381688,-0.0012207,0.0295127
1,4,0.00913348,-0.00295803,0.00799125,-0.00585719,-0.0482331,0.0161961,0.00305176,-0.00314113
1,5,-0.00871931,-0.00234767,0.00112479,-0.00646755,-0.0531159,0.00978743,-0.00228882,-0.0060403
1,6,-0.0012425,0.00772313,0.00448172,-0.00662013,-0.00444036,0.00810896,-0.00289917,-0.00771877
1,7,-0.00582014,-0.00112697,0.00387137,0.00100926,-0.0157319,0.0242833,-0.0134277,-0.0190103
1,8,-0.00276838,-0.00784084,-0.00726754,-0.00982448,0.0204315,0.050681,-0.00778198,-0.0193154
1,9,-0.0050572,0.00116185,-0.0065046,-0.00768825,0.0211944,0.0201634,0.00213623,-0.00512477
2,0,-0.00292097,-0.0044839,-0.00360543,-0.000516617,-0.0256501,0.0116185,-0.00411987,0.00250462
2,1,-0.0074986,-0.00524684,0.00219291,-0.00723048,0.0170745,-0.00577654,0.0141907,-0.00375148
2,2,-0.00200544,-0.00539943,-9.59124e-005,-0.0119607,0.0512542,-0.0024196,0.0152588,0.00265721
2,3,-0.00597273,-0.00600978,-0.00726754,-0.00402614,-0.00611882,0.00520979,0.0209045,0.00189427
2,4,0.00348772,0.00650242,-0.00543649,-0.00845119,-0.0526581,0.00444685,0.0135803,0.00616673
2,5,0.000893729,-0.00387355,-0.00543649,-0.0110452,0.0176849,0.000632155,-0.00350952,-0.00375148
2,6,-0.00566755,0.00467137,-0.00360543,-0.0139444,0.00975032,0.00139509,0.00610352,0.00891331
2,7,-0.0012425,0.00421361,-0.018559,-0.0101297,-0.0215302,-0.00165666,-0.00213623,0.00540379
2,8,-0.00597273,0.0100119,-0.0052839,-0.00692531,-0.0174103,-0.00440325,-0.00457764,-0.0151956
2,9,-0.00429426,0.00848607,-0.00345285,-0.00112697,-0.00978093,0.00337874,0.00656128,-0.00314113
3,0,-0.00292097,-0.00127956,-0.00116403,-0.00753566,-0.00688176,0.00566756,0.00442505,-0.0127542
3,1,-0.00963483,-0.0032632,0.00417655,-0.00311061,-0.0277863,0.000937331,0.00686646,-0.0126016
3,2,0.0105068,0.00467137,0.0113482,-0.00219508,-0.0520478,-0.00486101,-0.00137329,-0.00283596
3,3,0.00287737,-0.0044839,0.00646537,0.00039891,-0.0404511,-0.00837053,-0.00808716,0.00448826
3,4,-0.00658308,-0.000516619,0.00936454,0.00512913,-0.0229035,-0.00516619,0.0062561,-0.00329372
3,5,-0.00566755,0.00390843,0.00127738,0.00345067,-0.0171052,0.00490462,-0.00747681,-0.00832912
3,6,-0.00261579,-0.00372097,-0.00589425,0.00589207,0.0245513,-0.0024196,-0.00350952,-0.0104654
3,7,-0.00810896,-0.00295803,-0.0177961,0.00039891,0.0247039,0.000174391,-0.00213623,0.00326756
